Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
449,1515 PULLEN RD,Jacksonville,32216,Anabasis Real Estate Investment Apartments,4,1978,,,
450,8291 DAMES POINT CROSSING BLVD,Jacksonville,32277,Atlantic Multi Family Apartments,4,2006,,,
451,13504 CITICARDS WAY,Jacksonville,32256,B9 Mf Cue Apartments,4,2020,,,
452,4870 E DEER LAKE DR,Jacksonville,32246,Bel Deerwood Apartments,4,2013,,,
453,1057 BROWARD RD,Jacksonville,32218,Broward Rd Apartments,4,1973,,,
454,1110 CALIENTE DR,Jacksonville,32211,Cambridge Park Apartments,4,1960,,,
455,3460 BEACH BLVD,Jacksonville,32207,Chance Beach Apartments,4,2024,,,
456,5400 COLLINS LAKES DR,Jacksonville,32244,Collins Cove Housing,4,2005,,,
457,11727 ABESS BLVD,Jacksonville,32225,Dd Abess Apartments,4,2023,,,
458,14180 DUVAL RD,Jacksonville,32218,Duval Mf Apartments,4,2024,,,
459,1780 PEARCE ST,Jacksonville,32209,Edward Waters College Apartments,4,1968,,,
460,1527 FLANDERS RD,Jacksonville,32207,Florida Lakewood Village,4,1965,,,
461,1700 BLANDING BLVD,Jacksonville,32210,Jacksonville Housing Authority Apartments,4,1966,,,
462,2535 JAMMES RD,Jacksonville,32210,Jacksonville Rental Apartments,4,1978,,,
463,5435 W NORDE DR,Jacksonville,32244,Jjta23 Real Apartments,4,1965,,,
464,6756 103RD ST,Jacksonville,32210,Jjta23 Real Apartments,4,1966,,,
465,2501 JAMMES RD,Jacksonville,32210,Jjta9 Real Apartments,4,1968,,,
466,275 SAILFISH DR,Atlantic Beach,32233,Marshpoint Multi Family One,4,1975,,,
467,2207 SPRING PARK RD,Jacksonville,32207,Mater De Apartments,4,1974,,,
468,3131 N UNIVERSITY BLVD,Jacksonville,32211,Miramar Residences Tic,4,1984,,,
469,3016 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,4,1963,,,
470,11901 ABESS BLVD,Jacksonville,32225,Pac Sorrel Apartments,4,2016,,,
471,3760 S UNIVERSITY BLVD,Jacksonville,32216,Pepa Realty Apartments,4,1974,,,
472,1124 WOODRUFF AVE,Jacksonville,32205,Samuel D Kredell Revocable Living Apartments,4,1970,,,
473,14304 MARINA SAN PABLO PL,Jacksonville,32224,Sayla Development Apartments,4,2021,,,
474,3937 SPRING PARK RD,Jacksonville,32207,Silvertree Seniors Apartments,4,1971,,,
475,2216 SPRING PARK RD,Jacksonville,32207,St Charles Garden Apts,4,1967,,,
476,6919 N MAIN ST,Jacksonville,32208,St Main Street Apartments,4,1944,,,
477,2753 STARDUST CT,Jacksonville,32211,Stardust Residences Tic,4,1963,,,
478,7071 103RD ST,Jacksonville,32210,Vivo Living Apartments,4,1986,Vivo Living Jacksonville,https://www.apartments.com/vivo-living-jacksonville-jacksonville-fl/c9epsvf/,High
479,5051 HARLOW BLVD,Jacksonville,32210,Ability Vch Apartments,3,2025,,,
480,2125 HYDE PARK RD,Jacksonville,32210,Avner Apartments,3,1969,,,
481,13051 GRAN BAY PKWY,Jacksonville,32258,Breit Mf Vera Apartments,3,2018,,,
482,8737 BAYMEADOWS RD,Jacksonville,32256,Bridge Wf Ii Fl Lenox Cove,3,1991,,,
483,1033 BERT RD,Jacksonville,32211,Catalina Residences Tic,3,1965,,,
484,3730 SOUTEL DR,Jacksonville,32208,Christine Cove Apartments,3,2007,,,
485,11385 EXCHANGE ST,Jacksonville,32256,Crp/Rw Olea South Apartments,3,2024,,,
486,13305 BEACH BLVD,Jacksonville,32246,Eastside Mf Apartments,3,2024,,,
487,14030 ATLANTIC BLVD,Jacksonville,32225,Harbortown Apartments,3,2014,,,
488,5290 BIG ISLAND DR,Jacksonville,32246,Jacksonville Town Center Apartments,3,2013,,,
489,944 BROADCAST PL,Jacksonville,32207,Jacksonville Transportation Authority Apartments,3,2024,,,
490,14355 N MAIN ST,Jacksonville,32218,Jax Cr Apartments,3,2025,,,
491,7423 LINDA DR,Jacksonville,32208,Jjta1 Real Apartments,3,1966,,,
492,7420 LINDA DR,Jacksonville,32208,Jjta1 Real Apartments,3,1968,,,
493,1324 PRINCE ST,Jacksonville,32209,"Kings Place Apartments De,",3,1960,,,
494,1054 CALIENTE DR,Jacksonville,32211,La Palma Residences Tic,3,1960,,,
495,5531 LOS SANTOS WAY,Jacksonville,32211,La Palma Residences Tic,3,1959,,,
496,1623 N LIBERTY ST,Jacksonville,32206,Larue Avenue Investors Apartments,3,1931,,,
497,1450 FLAGLER AVE,Jacksonville,32207,Lofts San Mar,3,1919,,,
498,5985 WINDSOR FOREST DR,Jacksonville,32210,Ls 5984 Windsor Apartments,3,1966,,,
499,50 PINE SHADOW PKWY,Jacksonville,32081,Lsc Ponte Vedra Dst Apartments,3,2020,,,
500,2301 WESTMONT ST,Jacksonville,32207,Millennia Jacksonville Fl Tc Apartments,3,1957,,,
501,2404 WESTMONT ST,Jacksonville,32207,Millennia Jacksonville Fl Tc Apartments,3,1957,,,
502,1411 JEFFERSON ST,Jacksonville,32209,Millennia Jax 20 Apartments,3,1952,,,
503,2912 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,3,1963,,,
504,1241 N BLUEHILL DR,Jacksonville,32218,New Outlook Apartments,3,1998,,,
505,5139 TIMUQUANA RD,Jacksonville,32210,Noal Apartments,3,1966,,,
506,1600 SHETTER AVE,Jacksonville Beach,32250,Pablo Hamlet Ll Apartments,3,1980,,,
507,11833 N MAIN ST,Jacksonville,32218,Pointe Grand,3,2024,,,
508,1905 PROMENADE WAY,Jacksonville,32207,Promenade Apartments,3,2020,,,
509,5255 RACETRACK RD,Jacksonville,32259,Racetrack Apartments,3,2023,,,
510,1650 RIVER RD,Jacksonville,32207,River Road Apartments,3,1951,,,
511,4101 SAN PABLO PKWY,Jacksonville,32224,Rw Marble Olea Beach Haven Apartments,3,2023,Olea Beach Haven,https://www.apartments.com/olea-beach-haven-jacksonville-fl/rbcbs73/,High
512,13283 MAIN ST,Jacksonville,32218,Sagefield Apartments,3,2022,,,
513,7008 PONCE DE LEON AVE,Jacksonville,32217,San Jose Nm Apartments,3,1958,,,
514,4450 TROPEA WAY,Jacksonville,32246,Tbr Jaxon Owner 20 Apartments,3,2018,,,
515,2749 VERNON TER,Jacksonville,32205,Vernon Terrace,3,1916,,,
516,2304 S ST JOHNS BLUFF RD,Jacksonville,32246,Waters Ridge,3,2019,,,
517,7556 LA FONTAINE DR,Jacksonville,32244,Westside Rentals Apartments,3,1971,,,
518,7603 ARBLE DR,Jacksonville,32211,Wny Marshall Arms Apts,3,1965,,,
519,3140 FRANKLIN ST,Jacksonville,32206,Ability Housing Apartments,2,1970,,,
520,953 NEW BERLIN RD,Jacksonville,32218,Accel Jacksonville North Apartments,2,2025,,,
521,5511 LOS SANTOS WAY,Jacksonville,32211,Adobe Apartments,2,1960,,,
522,5459 MATANZAS WAY,Jacksonville,32211,Arco Mat Apartments,2,1956,,,
523,1111 WOODRUFF AVE,Jacksonville,32205,Bdep Murray Hill Apartments,2,1987,,,
524,1131 WOODRUFF AVE,Jacksonville,32205,Bdep Murray Hill Apartments,2,1964,,,
525,1040 BERT RD,Jacksonville,32211,Bert Road Apartments,2,1965,,,
526,1029 CALIENTE DR,Jacksonville,32211,Blue14 Caliente Apartments,2,1960,,,
527,1864 KINGS RD,Jacksonville,32209,Campus Towers Apartments Ll,2,1968,,,
528,1612 LARUE AVE,Jacksonville,32207,Case De Mar Apartments,2,1965,,,
529,939 CEDAR ST,Jacksonville,32207,Cedar Apartments,2,1954,,,
530,15275 N MAIN ST,Jacksonville,32218,Cg North Main Apartments,2,2025,,,
531,1300 HENDRICKS AVE,Jacksonville,32207,Chadbourne Ii Mf Apartments,2,2023,,,
532,1200 PRESERVATION TRL,Jacksonville,32081,Crosstown Apartments,2,2024,,,
533,1720 LANSDOWNE DR,Jacksonville,32211,Duval County School Board Apartments,2,1971,,,
534,811 BEACH BLVD,Jacksonville Beach,32250,East Tbr Jax Beach Apartments,2,2014,,,
535,1580 KINGS RD,Jacksonville,32209,Edward Waters College Apartments,2,1983,,,
536,8283 BAYMEADOWS RD,Jacksonville,32256,Fusion Rental Community Apartments,2,2020,,,
537,4565 LEXINGTON AVE,Jacksonville,32210,Gbasay Land Apartments,2,1963,,,
538,7704 HARE AVE,Jacksonville,32211,Gsj Apartments,2,1961,,,
539,69 W 7TH ST,Atlantic Beach,32233,Heritage V Apartments,2,2001,,,
540,77 W 7TH ST,Atlantic Beach,32233,Heritage V Apartments,2,2001,,,
541,13190 GLEN KERNAN PKWY,Jacksonville,32224,Hodges Apartments,2,2025,,,
542,222 S 2ND AVE,Jacksonville Beach,32250,J P Properties L Apartments,2,1946,,,
543,617 W 44TH ST,Jacksonville,32208,Jacksonville Housing Authority Apartments,2,1970,,,
544,1317 EASTER ST,Jacksonville,32211,Kammerer Rosaria Apartments,2,1962,,,
545,325 E DUVAL ST,Jacksonville,32202,Lofts at Cathedral,2,1950,,,
546,1201 BRETTA ST,Jacksonville,32211,Lpg Revocable Living Apartments,2,1973,,,
547,5984 WINDSOR FOREST DR,Jacksonville,32210,Ls 5984 Windsor Apartments,2,1966,,,
548,1205 N MARKET ST,Jacksonville,32206,Millennia Jax 20 Apartments,2,1921,,,
549,1175 RANDOLPH ST,Jacksonville,32205,Murray Hill Village,2,1973,,,
550,3530 VICTORIA PARK RD,Jacksonville,32216,Mw Landings,2,1970,,,
551,1290 KENDALL TOWN BLVD,Jacksonville,32225,Novo Apartments,2,2022,,,
552,9670 KENDALL POINTE DR,Jacksonville,32225,Kendall Pointe Townhomes,2,2022,,,
553,126 S 13TH AVE,Jacksonville Beach,32250,Nwrw Jax Beach Apartments,2,1973,,,
554,2796 WOOLERY DR,Jacksonville,32211,Oaktree 2796 Realty Apartments,2,1973,,,
555,2791 WOOLERY DR,Jacksonville,32211,Oaktree 2796 Realty Apartments,2,1972,,,
556,2753 MAYPORT RD,Jacksonville,32233,Ocean Reef Atlantic Beach Apartments,2,2022,,,
557,5101 N MAIN ST,Jacksonville,32206,Palm Lots Apartments,2,1949,,,
558,5545 PLAYA WAY,Jacksonville,32211,Poma Apartments,2,1987,,,
559,1218 HICKMAN RD,Jacksonville,32216,Poma Apartments,2,1974,,,
560,780 ISLAND POINT DR,Jacksonville,32218,Preserve at Jax Prop Apartments,2,2023,,,
561,7124 PONCE DE LEON AVE,Jacksonville,32217,Revocable Living Trust of William A Watson Apartments,2,1960,,,
562,5021 QUAN DR,Jacksonville,32205,Saleeba Apartments,2,1971,,,
563,1924 DANESE CT,Jacksonville,32207,San Marco Fm Apartments,2,1963,,,
564,500 BISHOP GATE LN,Jacksonville,32204,Sea 15 Apartments,2,2020,,,
565,5640 ANSLEY ST,Jacksonville,32211,Shay Apartments,2,1985,,,
566,2600 PHILIPS HWY,Jacksonville,32207,Smp Apartments,2,2023,,,
567,2146 INWOOD TER,Jacksonville,32207,South Riverside Apartments,2,1964,,,
568,5824 JUSTINA CT,Jacksonville,32277,St Justina Apartments,2,1964,,,
569,3658 STANLEY ST,Jacksonville,32207,Stanley Apartments,2,1964,,,
570,1655 PRUDENTIAL DR,Jacksonville,32207,Stonegate Iv Mf Apartments,2,2019,,,
571,13885 S SUTTON PARK DR,Jacksonville,32224,Sutton Place,2,2025,,,
572,1 RIVERSIDE AVE,Jacksonville,32202,Tbr One Riverside Apartments,2,2025,,,
573,800 HAMMOND BLVD,Jacksonville,32221,Trinity Baptist College,2,2000,,,
574,4811 PAYNE STEWART DR,Jacksonville,32209,United States of America Apartments,2,2003,,,
575,716 W CHURCH ST,Jacksonville,32202,Volunteers of America Of Apartments,2,1997,,,
576,8270 PODRUG ST,Jacksonville,32217,Vpb3 Apartments,2,1979,,,
577,13723 ATLANTIC BLVD,Jacksonville,32225,Williams Portfolio Apartments,2,2021,,,
578,122 W 8TH ST,Jacksonville,32206,Ability Dozier Apartments,1,2016,,,
579,6480 WATERGATE LN,Jacksonville,32210,Ability Londontowne Apartments,1,2019,,,
580,5353 ARLINGTON EXPY,Jacksonville,32211,Ability Riverton Apartments,1,1962,,,
581,3946 ST JOHNS AVE,Jacksonville,32205,Acif I Riverview Apartments,1,1961,,,
582,650 N NEWNAN ST,Jacksonville,32202,Ashley Square,1,2022,,,
583,10655 BRIGHTMAN BLVD,Jacksonville,32246,Aston Town Center Apartments,1,2024,,,
584,10342 ATLANTIC CIR,Jacksonville,32246,Atlantic Circle Apartments,1,1962,,,
585,1251 KINGS RD,Jacksonville,32204,Ayyappa Apartments,1,1961,,,
586,112 W ADAMS ST,Jacksonville,32202,Barnett Tower,1,1923,,,
587,5040 SHIRLEY AVE,Jacksonville,32210,Bdep Apartments,1,1960,,,
588,1165 RANDOLPH ST,Jacksonville,32205,Bdep Murray Hill Apartments,1,1970,,,
589,4806 KINGSBURY ST,Jacksonville,32205,Bdep Murray Hill Apartments,1,1972,,,
590,115 S 3RD ST,Jacksonville Beach,32250,Beaches Christian Services Apartments,1,1973,,,
591,2259 COLLEGE ST,Jacksonville,32204,Bencal Apartments,1,1923,,,
592,1035 ARCO DR,Jacksonville,32211,Blue Nj 3 Apartments,1,1971,,,
593,5548 PLAYA WAY,Jacksonville,32211,Blue14 Palms Apartments,1,1960,,,
594,1310 WILLOW BRANCH AVE,Jacksonville,32205,Capstone Capital Investments One Apartments,1,1926,,,
595,5175 N MAIN ST,Jacksonville,32208,Caroline Oaks,1,2015,,,
596,2504 PARK ST,Jacksonville,32204,Cat Investment Properties 5 Apartments,1,1929,,,
597,201 E ASHLEY ST,Jacksonville,32202,Cathedral Court,1,1980,,,
598,701 N OCEAN ST,Jacksonville,32202,Cathedral Terrace,1,1974,,,
599,601 N NEWNAN ST,Jacksonville,32202,Cathedral Towers,1,1968,,,
600,501 OCEAN ST,Jacksonville,32202,Cathedral Townhouse Apartments,1,1970,,,
601,3333 N UNIVERSITY BLVD,Jacksonville,32277,Catholic Charities Housing Assoc Of Apartments,1,1984,,,
602,3335 N UNIVERSITY BLVD,Jacksonville,32277,"Catholic Charities Housing Association of Jacksonville, Inc. Apartments",1,1985,,,
603,3027 SAN DIEGO RD,Jacksonville,32207,Centennial Holdings (Buckner) Apartments,1,2009,,,
604,200 RIVERSIDE AVE,Jacksonville,32202,Cs1031 Vista Brooklyn Apartments Dst,1,2021,,,
605,1526 PARENTAL HOME RD,Jacksonville,32216,Daniel Memorial Apartments,1,1999,,,
606,5032 SHIRLEY AVE,Jacksonville,32210,Dara Apartments,1,1968,,,
607,1401 RIVERPLACE BLVD,Jacksonville,32207,Delorenzo Strand Apartments,1,2007,,,
608,1606 MAYFAIR RD,Jacksonville,32207,Domo Apartments,1,2020,,,
609,1935 SAN MARCO BLVD,Jacksonville,32207,Dorsch San Mar Apartments,1,1969,,,
610,2840 HERSCHEL ST,Jacksonville,32205,Duggan George M Apartments,1,1929,,,
611,1751 N MAIN ST,Jacksonville,32206,Duke Apartments,1,1911,,,
612,1616 ALMIRA ST,Jacksonville,32211,Duke Apartments,1,1969,,,
613,930 E ADAMS ST,Jacksonville,32202,E Adams Apartments,1,2025,,,
614,751 N 1ST AVE,Jacksonville Beach,32250,East Tbr Jax Beach Apartments,1,2014,,,
615,611 BEACH BLVD,Jacksonville Beach,32250,East Tbr Jax Beach Apartments,1,2014,,,
616,711 BEACH BLVD,Jacksonville Beach,32250,East Tbr Jax Beach Apartments,1,2014,,,
617,700 E UNION ST,Jacksonville,32206,East Union Apartments,1,1913,,,
618,1216 EASTER ST,Jacksonville,32211,Easter St Apartments,1,1965,,,
619,116 S 2ND AVE,Jacksonville Beach,32250,Eckstein Apartments,1,2015,,,
620,913 S 2ND ST,Jacksonville Beach,32250,Eckstein Apartments,1,2014,,,
621,1743 KINGS RD,Jacksonville,32209,Edward Waters College Apartments,1,1950,,,
622,85 W 48TH ST,Jacksonville,32208,Egret Landing,1,2025,,,
623,43 E 4TH ST,Jacksonville,32206,Elite Fl Capital Apartments,1,1909,,,
624,1230 E 7TH ST,Jacksonville,32206,Elizabeth I Homes Apartments,1,1970,,,
625,1212 E 1ST ST,Jacksonville,32206,Elizabeth Ii Homes Apartments,1,1970,,,
626,1706 COPELAND ST,Jacksonville,32204,Fenimore Apartments,1,1922,,,
627,3812 UNIVERSITY BLVD,Jacksonville,32211,Flipper Apartments,1,2015,,,
628,1115 S EDGEWOOD AVE,Jacksonville,32205,Florida Christian Apartments,1,1973,,,
629,3505 CORBY ST,Jacksonville,32205,Florida Christian Manor,1,1983,,,
630,2061 FORBES ST,Jacksonville,32204,Forbes St Apartments,1,1926,,,
631,959 PRUDENTIAL DR,Jacksonville,32207,Fr Southerly Apartments,1,2021,,,
632,4025 SALISBURY RD,Jacksonville,32216,Gavin Point,1,2025,,,
633,1129 ARCO DR,Jacksonville,32211,Green Phin Flats Apartments,1,1961,,,
634,1217 UNDERHILL DR,Jacksonville,32211,Green Phin Flats Apartments,1,1958,,,
635,1520 COPELAND ST,Jacksonville,32204,Greenbrier Park L,1,1924,,,
636,1800 W EDGEWOOD AVE,Jacksonville,32208,Hallmark Rosalind Villas,1,2002,,,
637,2105 HARVEY ST,Jacksonville,32211,Harvey St Apartments,1,1961,,,
638,1520 ALFORD PL,Jacksonville,32207,Hendricks Sanmarc Apartments,1,2023,,,
639,412 E ASHLEY ST,Jacksonville,32202,Hoose A Apartments,1,2020,,,
640,3630 GALICIA RD,Jacksonville,32217,Housing Association of Diocese of St Augustine Apartments,1,1999,,,
641,139 N JEFFERSON ST,Jacksonville,32204,Houston Street Manor Limited,1,2018,,,
642,4785 WALGREEN RD,Jacksonville,32209,I M Sulzbacher Center For the Homeless Apartments,1,2025,,,
643,210 S 22ND AVE,Jacksonville Beach,32250,J P Apartments,1,1977,,,
644,1605 MYRTLE AVE,Jacksonville,32209,Jacksonville Housing Authority Apartments,1,1999,,,
645,1300 N BROAD ST,Jacksonville,32202,Jacksonville Housing Authority Apartments,1,1974,,,
646,2804 W 1ST ST,Jacksonville,32254,Jax 2804 Apartments,1,1970,,,
647,160 N 7TH AVE,Jacksonville Beach,32250,Jax Beach Iia Apartments,1,1995,,,
648,888 FRANKLIN ST,Jacksonville,32206,Jha Franklin Arms Apartments,1,1971,,,
649,550 COMET ST,Jacksonville,32205,Jjta11 Real Apartments,1,1971,,,
650,2506 JAMMES RD,Jacksonville,32210,Jjta12 Real Apartments,1,1975,,,
651,6259 WILSON BLVD,Jacksonville,32210,Jjta13 Real Apartments,1,1972,,,
652,6253 WILSON BLVD,Jacksonville,32210,Jjta13 Real Apartments,1,1972,,,
653,7154 CONANT AVE,Jacksonville,32210,Jjta14 Real Apartments,1,1963,,,
654,7166 CONANT AVE,Jacksonville,32210,Jjta14 Real Apartments,1,1968,,,
655,1029 BRADY ST,Jacksonville,32209,Jjta24 Real Apartments,1,1960,,,
656,5566 KINGSBURY ST,Jacksonville,32205,Jjta4 Real Apartments,1,1964,,,
657,12397 SAN JOSE BLVD,Jacksonville,32223,Julington Apartments,1,2022,,,
658,3253 JUSTINA RD,Jacksonville,32277,Justina Rd Apartments,1,1964,,,
659,2969 HERSCHEL ST,Jacksonville,32205,Ken Flow Aircraft Parts Apartments,1,1922,,,
660,1606 KING ST,Jacksonville,32204,King 25 Apartments,1,1957,,,
661,1038 CALIENTE DR,Jacksonville,32211,La Palma Residences Tic,1,1960,,,
662,4360 DEERWOOD LAKE PKWY,Jacksonville,32216,Lake Lofts,1,2017,,,
663,909 BERT RD,Jacksonville,32211,Les Chateaux Apartments,1,1968,,,
664,2203 ART MUSEUM DR,Jacksonville,32207,Liberty Center Apartments,1,1976,Liberty Studio Apartments,https://www.apartments.com/liberty-studio-apartments-jacksonville-fl/8dnlxd1/,High
665,1845 LINDBERG DR,Jacksonville,32210,Lindberg Dr Apartments,1,1977,,,
666,190 CHELSEA ST,Jacksonville,32204,Lofts at Brooklyn,1,2021,,,
667,799 WATER ST,Jacksonville,32204,Lofts at Lavilla,1,2019,,,
668,995 WATER ST,Jacksonville,32204,Lofts at Lavilla,1,2017,,,
669,906 W MONROE ST,Jacksonville,32204,Lofts at Lavilla On Monroe,1,2018,,,
670,840 S EDGEWOOD AVE,Jacksonville,32205,Lofts at Murray Hill,1,2021,,,
671,3036 PHILIPS HWY,Jacksonville,32207,Lofts at San Marco East,1,2024,,,
672,7400 HOGAN RD,Jacksonville,32216,Madison Manor Apartments,1,2007,,,
673,6898 A C SKINNER PKWY,Jacksonville,32256,Mag Portiva Apartments,1,2018,,,
674,103 TROUT RIVER DR,Jacksonville,32208,Market Ready Pros Apartments,1,1957,,,
675,207 N 9TH AVE,Jacksonville Beach,32250,Marshpoint Multi Family One,1,1948,,,
676,220 S 5TH AVE,Jacksonville Beach,32250,Marshpoint Multi Family One,1,1969,,,
677,1250 W 16TH ST,Jacksonville,32209,Mary Eaves Apartments,1,2017,,,
678,6699 LENOX AVE,Jacksonville,32205,Matyi Daniel J Apartments,1,1984,,,
679,831 MAY ST,Jacksonville,32204,May Post Real Estate Apartments,1,1940,,,
680,4580 SHIRLEY AVE,Jacksonville,32210,Mcdaniel Apartments,1,1963,,,
681,4575 LEXINGTON AVE,Jacksonville,32210,Mcdaniel Apartments,1,1963,,,
682,5846 MT CARMEL TER,Jacksonville,32216,Mcg Senior Apartments,1,1972,,,
683,6555 LENOX AVE,Jacksonville,32205,Melissa Grove,1,2024,,,
684,127 S 1ST AVE,Jacksonville Beach,32250,Melrose Place Apts 1St Ave,1,1955,,,
685,3927 NOTTER AVE,Jacksonville,32206,Metro North Community Development Corporation Apartments,1,1969,,,
686,220 RIVERSIDE AVE,Jacksonville,32202,Mid America Apartments,1,2014,,,
687,9050 NORFOLK BLVD,Jacksonville,32208,Morris Manor Ll,1,1980,,,
688,4809 PLYMOUTH ST,Jacksonville,32205,Murray Hill Village,1,1978,,,
689,4818 ALPHA AVE,Jacksonville,32205,Murray Hill Village,1,1988,,,
690,3933 PRITMORE RD,Jacksonville,32257,National Church Residences,1,1983,,,
691,8000 FLEET LANDING BLVD,Atlantic Beach,32233,Naval Continuing Care Retirement Foundation Apartments,1,2021,,,
692,7911 TALLAHASSEE AVE,Jacksonville,32208,New Outlook Apartments,1,1995,,,
693,2250 JAMMES RD,Jacksonville,32210,Northwest Housing Initiative Apartments,1,2003,,,
694,11291 ALUMNI WAY,Jacksonville,32246,Nshf Apartments,1,2015,,,
695,6734 103RD ST,Jacksonville,32210,Nvc 103Rd Street Apartments,1,2011,,,
696,15001 N MAIN ST,Jacksonville,32218,Oceanway Sand Apartments,1,1946,,,
697,814 N 1ST ST,Jacksonville Beach,32250,Packer Apartments,1,2014,,,
698,139 COTTAGE AVE,Jacksonville,32206,Pearce Springfield Apartments,1,1929,,,
699,1504 PERRY ST,Jacksonville,32206,Perry Street Apartments,1,1946,,,
700,1800 CORPORATE SQUARE BLVD,Jacksonville,32211,Peyton Ridge Community,1,2016,,,
701,20 W ADAMS ST,Jacksonville,32202,Phoenix Adams Rising Apartments,1,1911,,,
702,8760 PINNACLE PARK BLVD,Jacksonville,32256,Pinnacle,1,2024,,,
703,780 SCAUP WAY,Jacksonville,32218,Preserve at Jax Prop Apartments,1,2023,,,
704,2831 HERSCHEL ST,Jacksonville,32205,Preserved Properties of Avondale Apartments,1,1942,,,
705,2775 HERSCHEL ST,Jacksonville,32205,R&R Apartments,1,1958,,,
706,6473 SAN JUAN AVE,Jacksonville,32210,R&R Loving Hands Apartments,1,2021,,,
707,1504 S MCDUFF AVE,Jacksonville,32205,Raymond Charles Apartments,1,1926,,,
708,2345 POST ST,Jacksonville,32204,Ricketson Darlene Apartments,1,1948,,,
709,2738 RIVERSIDE AVE,Jacksonville,32205,Riverside 25 Apartments,1,1929,,,
710,750 OAK ST,Jacksonville,32204,Riverside Park Apartments Ll,1,1982,,,
711,1045 OAK ST,Jacksonville,32204,Riverside Presbyterian Apartments,1,1970,,,
712,1826 BAYARD PL,Jacksonville,32205,Riviera Park,1,1951,,,
713,931 RUBEL ST,Jacksonville,32205,Rubel and College Apartments,1,1928,,,
714,3622 GALICIA RD,Jacksonville,32217,San Jose Catholic Housing Association Apartments,1,1999,,,
715,1823 DANESE CT,Jacksonville,32207,San Marco Fm Apartments,1,1963,,,
716,10640 SATORI LN,Jacksonville,32256,Satori Town Center Apartments,1,2021,,,
717,421 W CHURCH ST,Jacksonville,32202,Sba Edge Apartments,1,1959,,,
718,3146 POST ST,Jacksonville,32205,Sbsjax 3146 Post St Apartments,1,1955,,,
719,555 BISHOP GATE LN,Jacksonville,32204,Sea 15 Apartments,1,2020,,,
720,1900 OLEVIA ST,Jacksonville,32207,Smc Apartments,1,2021,,,
721,1810 BERTHA ST,Jacksonville,32207,Smc Apartments,1,2021,,,
722,1444 HOME ST,Jacksonville,32207,Soba Apartments,1,2019,,,
723,3465 PHILIPS HWY,Jacksonville,32207,Sp Jax Apartments,1,1978,,,
724,605 N OCEAN ST,Jacksonville,32202,Sp Sd Apartments,1,1907,,,
725,1148 N MAIN ST,Jacksonville,32206,Springfield Mf Apartments,1,2025,,,
726,19 W 38TH ST,Jacksonville,32206,St 38 Street Apartments,1,1950,,,
727,22 W 38TH ST,Jacksonville,32206,St 38 Street Apartments,1,1950,,,
728,2761 ST JOHNS AVE,Jacksonville,32205,St Johns Apartments,1,1952,,,
729,3273 JUSTINA RD,Jacksonville,32277,St Justina Apartments,1,1964,,,
730,1020 STOCKTON ST,Jacksonville,32204,Stockton Apartments,1,1930,,,
731,2335 RIVERSIDE AVE,Jacksonville,32204,Sunshine 2335 Realty Apartments,1,1928,,,
732,5844 JUSTINA CT,Jacksonville,32277,Sunshine State Reo Apartments,1,1965,,,
733,2851 SOPHIA ST,Jacksonville,32254,Tlv Investments 3 Apartments,1,1973,,,
734,1400 LE BARON AVE,Jacksonville,32207,Towers Of,1,1972,,,
735,5000 BIG ISLAND DR,Jacksonville,32246,Town Center Apartments,1,2013,,,
736,113 W ADAMS ST,Jacksonville,32202,W A Knight Bldg Development Apartments,1,1920,,,
737,218 W CHURCH ST,Jacksonville,32202,W Church Apartments,1,1924,,,
738,208 N 10TH AVE,Jacksonville Beach,32250,Wadman John P Apartments,1,1948,,,
739,1055 E 1ST ST,Jacksonville,32206,Wealth Watchers Apartments,1,2018,,,
740,5626 WINDERMERE DR,Jacksonville,32211,Windermere Apartments,1,1974,,,
741,3015 PARENTAL HOME RD,Jacksonville,32216,Yccp Apartments,1,2009,,,